"newID","Cottus_ab","LND_ab","SRD_ab","avdep","avgT","mFlow","pctcbbl","pctfines","boulder","elev_m","Area_km2","HAiFLS_for","med_len","BRT_100m","BRT","Cottus_CPUE","LND_CPUE","SRD_CPUE","SegLen"
"UPI_1",0,0,0,0.332666666666667,13.3717967967968,0.175111111111111,42.2222222222222,53.3333333333333,0.181818181818182,296.441101074,9.1326982674,39.1816711,232.5,4.86111111111111,1,0,0,0,288
"UPI_8",0,2,1,0.36051724137931,18.7604122872873,0.302931034482759,57.8947368421053,31.5789473684211,0.0833333333333333,338.43447876,25.2372933268,3.8072126,0,0,0,0,0.444444444444444,0.222222222222222,450
"UPI_10",0,0,0,0.462083333333333,15.3055305305305,0.319154929577465,18.0555555555556,70.8333333333333,0.416666666666667,365.914550781,18.1424096868,0.0171744,177,0.222222222222222,1,0,0,0,450
"UPI_11",0,0,0,0.107878787878788,13.1058896396396,0.333939393939394,87.8787878787879,12.1212121212121,0.333333333333333,289.087463379,1.81014783852,61.3778419,0,0,0,0,0,0,150
"UPI_12",0,0,0,0.183541666666667,14.92754004004,0.114375,65.9574468085106,27.6595744680851,0.166666666666667,305.83380127,3.83447967629,25.6601162,172.5,2.66666666666667,1,0,0,0,150
"UPI_13",0,0,1,0.439375,15.7792924174174,0.168125,50,43.75,0,365.534545898,4.63892549403,14.4057808,0,0,0,0,0,0.222222222222222,450
"UPI_14",0,0,0,0.240212765957447,15.0425475475475,0.243191489361702,28.2608695652174,47.8260869565217,0.0833333333333333,201.243164063,10.7978725133,72.1483536,246.5,0.666666666666667,1,0,0,0,300
"UPI_16",0,0,0,0.282222222222222,15.9637212212212,0.23,36.1111111111111,61.1111111111111,0,354.14453125,3.28467176026,0.4850812,0,0,0,0,0,0,150
"UPI_18",9,0,0,0.159166666666667,16.0150563063063,0.0664583333333333,43.75,50,0.916666666666667,315.906982422,16.5727510056,6.680882,195.5,0.584795321637427,1,2.63157894736842,0,0,342
"UPI_22",0,0,0,0.260322580645161,15.4286361361361,0.268387096774193,41.9354838709677,32.258064516129,0.166666666666667,377.625274658,7.84405038447,0.0007945,264,11.3888888888889,1,0,0,0,360
"UPI_26",0,2,27,0.281458333333333,18.0072791541542,0.37625,77.0833333333333,20.8333333333333,0.333333333333333,322.95916748,21.0185997686,12.4863567,243.5,0.888888888888889,1,0,0.444444444444444,6,450
"UPI_27",0,0,0,0.39,17.02872997998,0.407291666666667,62.5,33.3333333333333,0.583333333333333,332.604644775,6.83745573936,3.1386724,0,0,0,0,0,0,360
"UPI_32",0,0,0,0.29,13.7694744744745,0.429583333333333,62.5,16.6666666666667,0.0833333333333333,346.347595215,3.99869530802,0,0,0,0,0,0,0,150
"UPI_34",10,0,0,0.300555555555556,12.900777027027,0.116666666666667,77.1428571428572,14.2857142857143,0.833333333333333,275.348327637,5.64815626478,35.5497017,283.5,3.55555555555556,1,2.22222222222222,0,0,450
"UPI_35",184,0,0,0.347045454545455,14.3813607357357,0.195727272727273,75,13.6363636363636,0.916666666666667,251.998901367,14.8796878862,18.2874947,192.5,37.7777777777778,1,40.8888888888889,0,0,450
"UPI_36",0,0,0,0.250588235294118,15.6311918168168,0.311764705882353,17.6470588235294,58.8235294117647,0.0833333333333333,334.405853271,2.77933250175,8.3160257,0,0,0,0,0,0,150
"UPI_38",0,0,0,0.404864864864865,15.8816266266266,0.238108108108108,37.8378378378378,43.2432432432432,0,374.19241333,6.03918779314,4.9718437,294.5,13.1868131868132,1,0,0,0,273
"UPI_41",0,0,1,0.253714285714286,15.5823527918198,0.108857142857143,40,60,0,355.294311523,18.5190095963,11.0559187,0,0,0,0,0,0.666666666666667,150
"UPI_48",0,17,0,0.220444444444444,16.1247053303303,0.233555555555556,82.2222222222222,11.1111111111111,0.0833333333333333,338.525939941,5.49087357086,14.5001488,0,0,0,0,4.53333333333333,0,375
"UPI_57",0,0,0,0.215416666666667,16.3691647897898,0.137083333333333,12.5,75,0.0833333333333333,364.850189209,1.22425879845,1.6014369,0,0,0,0,0,0,150
"UPI_61",0,0,0,0.1925,14.3232864114114,0.178928571428571,75,16.6666666666667,0.5,269.590026855,1.42496221662,34.8816223,296,3.33333333333333,1,0,0,0,150
"UPI_75",0,0,0,0.29125,15.0499286786787,0.405,79.1666666666667,20.8333333333333,0,364.979064941,3.31588059963,0.0168676,0,0,0,0,0,0,150
"UPI_84",0,0,0,0.163714285714286,16.1027884134134,0.209428571428571,17.1428571428571,82.8571428571428,0.166666666666667,338.619293213,2.32304687501,7.4522662,0,0,0,0,0,0,165
"UPI_85",45,0,0,0.248,13.9197491241241,0.204,94.2857142857143,0,0.75,234.664245605,11.5763287151,57.5264244,204.5,36.231884057971,1,16.304347826087,0,0,276
"UPI_86",0,0,0,0.223611111111111,11.6331719219219,0.231944444444444,90,10,0.416666666666667,348.092163086,3.47060526689,16.0228348,186,5.18518518518519,1,0,0,0,270
"UPI_93",0,0,0,0.175172413793103,13.6324242992993,0.170344827586207,66.6666666666667,22.2222222222222,0,298.115692139,2.63473553268,57.9315987,0,0,0,0,0,0,150
"UPI_96",0,164,0,0.281041666666667,18.0774868618619,0.291875,74.468085106383,21.2765957446809,0.333333333333333,311.272399902,20.3925576266,8.7269726,0,0,0,0,36.4444444444444,0,450
"UPI_108",0,1,0,0.35972972972973,15.5823527918198,0.25972972972973,81.0810810810811,10.8108108108108,0.0833333333333333,338.003601074,7.16108232991,0.2732082,0,0,0,0,0.222222222222222,0,450
"UPI_109",0,1,0,0.229310344827586,15.5147766516517,0.237241379310345,92.8571428571429,0,0.333333333333333,247.553726196,6.05342841518,24.677969,253.5,7.2463768115942,1,0,0.36231884057971,0,276
"UPI_117",23,0,0,0.240714285714286,12.8926457707708,0.187619047619048,73.1707317073171,21.9512195121951,0.416666666666667,243.950469971,9.91821668346,64.0907898,219,34.4444444444444,1,8.51851851851852,0,0,270
"UPI_118",0,13,1,0.350434782608696,17.9056412662663,0.361276595744681,76.0869565217391,21.7391304347826,0,350.869720459,50.8892060641,5.1532969,0,0,0,0,2.88888888888889,0.222222222222222,450
"UPI_123",0,0,0,0.305454545454545,16.3093812562563,0.234545454545454,90.9090909090909,6.81818181818182,0.166666666666667,268.198516846,22.5305728664,23.0814247,218.5,4,1,0,0,0,450
"UPI_128",0,0,0,0.299189189189189,16.0193712462462,0.26027027027027,5.40540540540541,83.7837837837838,0,350.073059082,5.43988959016,1.4e-06,0,0,0,0,0,0,450
